Player,FantPt,FanPosRank,FanOvRank
Darren Sproles\SproDa00,46,72,
Jordan Thomas\ThomJo05,46,28,
Jacquizz Rodgers\RodgJa00,45,74,
Tajae Sharpe\SharTa00,45,96,
Ian Thomas\ThomIa00,45,29,
Nick Vannett\VannNi00,45,30,
Kelvin Benjamin\BenjKe00,44,97,
Jonnu Smith\SmitJo01,44,31,
Jordan Wilkins\WilkJo01,44,75,
Chase Edmonds\EdmoCh00,43,76,
Jermaine Kearse\KearJe01,43,98,
Geronimo Allison\AlliGe01,42,99,
Allen Hurns\HurnAl01,42,101,
Jordan Matthews\MattJo00,42,100,
Tyler Higbee\HigbTy00,41,32,
Tyrod Taylor\TaylTy00,41,41,
Jeff Heuerman\HeueJe00,40,34,
Zach Pascal\PascZa00,40,102,
Ricky Seals-Jones\SealRi00,40,33,
Ryan Grant\GranRy01,39,103,
Cody Kessler\KessCo00,39,42,
Paul Richardson\RichPa01,39,104,
Jay Ajayi\AjayJa00,38,77,
Kyle Juszczyk*\JuszKy00,37,78,
DeVante Parker\ParkDe01,37,107,
Tim Patrick\PatrTi00,37,105,
Terrelle Pryor\PryoTe00,37,106,
Rex Burkhead\BurkRe00,36,79,
Ted Ginn\GinnTe00,36,110,
DaeSean Hamilton\HamiDa01,36,108,
Laquon Treadwell\TreaLa00,36,109,
Keke Coutee\CoutKe00,35,111,
Jack Doyle\DoylJa00,35,36,
Rhett Ellison\ElliRh00,35,35,
Pierre Garcon\GarcPi00,35,112,
Isaiah McKenzie\McKeIs00,35,113,
Malcolm Brown\BrowMa03,34,80,
Demetrius Harris\HarrDe03,34,37,
Ed Dickson\DickEd00,33,38,
Blaine Gabbert\GabbBl00,33,43,
Keith Kirkwood\KirkKe00,33,117,
Raheem Mostert\MostRa00,33,81,
Torrey Smith\SmitTo02,33,116,
Equanimeous St. Brown\St.BEq00,33,115,
Ryan Switzer\SwitRy00,33,114,
Tavon Austin\AustTa00,32,118,
Trenton Cannon\CannTr00,32,83,
Levine Toilolo\ToilLe00,32,39,
Jeff Wilson\WilsJe01,32,82,
James Develin\DeveJa00,31,84,
Wayne Gallman\GallWa00,31,85,
Ryan Griffin\GrifRy00,31,41,
Maurice Harris\HarrMa05,31,119,
Taysom Hill\HillTa00,31,44,
T.J. Jones\JoneT.00,31,120,
Matt LaCosse\LaCoMa00,31,40,
Russell Shepard\ShepRu00,31,121,
Chase Daniel\DaniCh00,30,45,
Darren Fells\FellDa01,30,43,
Geoff Swaim\SwaiGe00,30,42,
Trent Taylor\TaylTr02,30,122,
Kalen Ballage\BallKa00,29,86,
Travis Benjamin\BenjTr00,29,123,
Bruce Ellington\ElliBr00,29,124,
Anthony Firkser\FirkAn00,29,45,
Luke Stocker\StocLu00,29,44,
Jason Croom\CrooJa00,28,47,
Will Dissly\DissWi00,28,48,
Marcus Murphy\MurpMa03,28,87,
Michael Roberts\RobeMi01,28,46,
James Washington\WashJa00,28,125,
Kyle Allen\AlleKy00,27,47,
Martavis Bryant\BryaMa00,27,128,
Virgil Green\GreeVi00,27,49,
Colt McCoy\McCoCo00,27,46,
Chris Moore\MoorCh00,27,126,
Trent Sherfield\SherTr00,27,127,
Erik Swoope\SwooEr00,27,50,
Brandon Bolden\BoldBr00,26,88,
Bennie Fowler\FowlBe00,26,130,
Brandon LaFell\LaFeBr00,26,131,
Andre Roberts*+\RobeAn00,26,129,
Mo Alie-Cox\AlieMo00,25,51,
Justin Hardy\HardJu00,25,132,
Josh Hill\HillJo02,25,53,
Cody Latimer\LatiCo00,25,133,
Lee Smith\SmitLe00,25,52,
Rod Smith\SmitRo06,25,89,
Cody Core\CoreCo00,24,135,
Tyler Eifert\EifeTy00,24,54,
Chad Williams\WillCh05,24,134,
Jordan Akins\AkinJo00,23,56,
Richie James\JameRi00,23,136,
Lance Kendricks\KendLa00,23,55,
Austin Carr\CarrAu00,22,137,
Hayden Hurst\HursHa00,22,57,
Dan Arnold\ArnoDa00,21,61,
Marcell Ateman\AtemMa00,21,138,
Nick Boyle\BoylNi00,21,59,
Garrett Celek\CeleGa00,21,62,
Marvin Hall\HallMa02,21,139,
Josh McCown\McCoJo01,21,48,
James O'Shaughnessy\O'ShJa00,21,58,
Maxx Williams\WillMa04,21,60,
Josh Bellamy\BellJo02,20,141,
DeAndre Carter\CartDe02,20,140,
Brandon Marshall\MarsBr00,20,142,
Michael Floyd\FloyMi00,18,143,
Mike Gesicki\GesiMi00,18,63,
Andy Janovich\JanoAn00,18,90,
Zach Line\LineZa01,18,91,
Matt Barkley\BarkMa00,17,49,
Leonte Carroo\CarrLe00,17,146,
Alex Erickson\EricAl01,17,145,
Darius Jennings\JennDa00,17,144,
Jordan Leggett\LeggJo00,17,64,
Charles Clay\ClayCh00,16,65,
Andre Holmes\HolmAn00,16,148,
Marcus Johnson\JohnMa07,16,150,
Jake Kumerow\KumeJa00,16,147,
MyCole Pruitt\PruiMy00,16,66,
Anthony Sherman*\SherAn00,16,92,
Deonte Thompson\ThomDe04,16,149,
DJ Chark\CharDJ00,15,152,
Brian Hill\HillBr02,15,95,
Cameron Meredith\MereCa00,15,151,
Taquan Mizzell\MizzTa00,15,94,
Nick O'Leary\OLeaNi00,15,70,
Logan Paulsen\PaulLo00,15,67,
Austin Seferian-Jenkins\SefeAu00,15,68,
Scott Simonson\SimoSc00,15,69,
Vyncint Smith\SmitVy00,15,153,
Dwayne Washington\WashDw00,15,93,
Alex Armah\ArmaAl00,14,97,
Cameron Artis-Payne\ArtiCa00,14,96,
Deontay Burnett\BurnDe00,14,155,
Taylor Heinicke\HeinTa00,14,50,
Andy Jones\JoneAn01,14,156,
Ronald Jones\JoneRo01,14,98,
Trey Quinn\QuinTr00,14,157,
Damion Ratley\RatlDa00,14,154,
Robert Tonyan\TonyRo00,14,71,
Sam Bradford\BradSa00,13,52,
Derek Carrier\CarrDe00,13,74,
Seth Devalve\DevaSe00,13,72,
Nathan Peterman\PeteNa00,13,51,
Brandon Powell\PoweBr00,13,158,
Adam Shaheen\ShahAd00,13,73,
Darrel Williams\WillDa10,13,99,
Brice Butler\ButlBr00,12,159,
Stevan Ridley\RidlSt00,12,100,
Dalton Schultz\SchuDa00,12,75,
A.J. Derby\DerbA.00,11,77,
Mike Glennon\GlenMi00,11,53,
Corey Grant\GranCo00,11,101,
Dwayne Harris\HarrDw00,11,160,
Tommylee Lewis\LewiTo00,11,161,
Chris Manhertz\ManhCh00,11,76,
Keith Ford\FordKe00,10,104,
John Kelly\KellJo00,10,103,
Niles Paul\PaulNi00,10,80,
Eli Rogers\RogeEl00,10,162,
Jeremy Sprinkle\SpriJe00,10,78,
De'Anthony Thomas\ThomDe05,10,163,
Darren Waller\WallDa01,10,79,
DeAndre Washington\WashDe00,10,102,
Charcandrick West\WestCh01,10,105,
Jake Butt\ButtJa00,9,82,
D'Onta Foreman\ForeDO00,9,108,
Devonta Freeman\FreeDe00,9,107,
