Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
69,Mike Gesicki,MIA,427.3568059,3.198524796,0.761912508,24,te,16,5,89,51,0.57,570,11.2,5,25,34,6.4,3.2,35.6,1,64,85,11,64
70,Kenyan Drake,2TM,273.7378034,1.595798107,1.178918847,25,,14,10,68,50,0.74,345,6.9,0,15,26,5.1,3.6,24.6,2,47,164,18,47
71,Miles Sanders,PHI,376.5789804,2.402282116,1.166958437,22,RB,16,11,63,50,0.79,509,10.2,3,19,45,8.1,3.1,31.8,2,38,169,15,38
72,Will Fuller,HOU,580.7077912,2.721498619,0.819554914,25,WR,11,11,71,49,0.69,670,13.7,3,26,54,9.4,4.5,60.9,1,143,85,53,
73,Russell Gage,ATL,342.2274437,2.200399649,0.632079066,23,wr,16,4,74,49,0.66,446,9.1,1,25,19,6,3.1,27.9,1,217,50,84,
74,Aaron Jones,GNB,343.0489776,2.060941408,1.64133719,25,RB,16,16,68,49,0.72,474,9.7,3,18,67,7,3.1,29.6,3,4,266,3,4
75,Hunter Renfrow,OAK,489.7336235,2.915381081,0.784004525,24,wr,13,4,71,49,0.69,605,12.3,4,30,65,8.5,3.8,46.5,1,145,85,55,
76,Golden Tate,NYG,584.3939407,3.387505596,0.888163779,31,WR,11,10,85,49,0.58,676,13.8,6,30,64,8,4.5,61.5,1,122,103,41,
77,Mike Williams,LAC,748.8716954,2.617423822,0.719317808,25,WR,15,15,90,49,0.54,1001,20.4,2,41,56,11.1,3.3,66.7,0,112,112,37,
78,Darius Slayton,NYG,573.2847932,3.820041024,0.756150072,22,WR,14,9,84,48,0.57,740,15.4,8,32,55,8.8,3.4,52.9,0,105,122,33,
79,Chris Conley,JAX,569.8712109,3.134861565,0.69363021,27,WR,16,14,90,47,0.52,775,16.5,5,36,70,8.6,2.9,48.4,0,115,110,39,
80,Jaylen Samuels,PIT,253.0353346,2.017069632,0.659137642,23,rb,14,4,57,47,0.83,305,6.5,1,19,27,5.4,3.4,21.8,1,195,57,56,
81,Marquise Brown,BAL,457.7444586,3.4802825,0.671018087,22,WR,14,11,71,46,0.65,584,12.7,7,24,83,8.2,3.3,41.7,0,128,100,45,
82,T.Y. Hilton,IND,459.4367722,2.971011624,0.663566154,30,WR,10,10,68,45,0.66,501,11.1,5,24,35,7.4,4.5,50.1,0,151,80,57,
83,Evan Engram,NYG,481.693255,2.482157353,0.664277878,25,te,8,6,68,44,0.65,467,10.6,3,23,75,6.9,5.5,58.4,0,180,65,19,
84,Nyheim Hines,IND,249.9501839,1.634462705,0.691096639,23,rb,16,2,58,44,0.76,320,7.3,0,15,21,5.5,2.8,20,1,163,74,50,
85,Duke Johnson,HOU,310.5006355,2.308171766,0.816443062,26,rb,16,2,62,44,0.71,410,9.3,3,18,21,6.6,2.8,25.6,1,116,110,35,
86,James Washington,PIT,555.8850381,2.603404755,0.764997537,23,WR,15,10,80,44,0.55,735,16.7,3,31,79,9.2,2.9,49,1,137,90,51,
87,Jared Cook,NOR,545.503236,3.882552479,0.744783954,32,te,14,7,65,43,0.66,705,16.4,9,32,61,10.8,3.1,50.4,0,25,125,6,25
88,Corey Davis,TEN,459.9776802,2.291711295,0.699181921,24,WR,15,11,69,43,0.62,601,14,2,33,38,8.7,2.9,40.1,1,166,72,64,
89,Jack Doyle,IND,340.9243627,2.662754567,0.680266719,29,TE,16,16,72,43,0.6,448,10.4,4,29,23,6.2,2.7,28,1,173,69,18,
90,Tyler Eifert,CIN,333.0963229,2.429291124,0.516596526,29,te,16,4,63,43,0.68,436,10.1,3,24,27,6.9,2.7,27.3,0,182,64,21,
91,Alex Erickson,CIN,399.8224793,1.816142271,1.053078793,27,wr,16,6,78,43,0.55,529,12.3,0,26,52,6.8,2.7,33.1,4,207,53,82,
92,Royce Freeman,DEN,202.3116197,1.718109269,0.622496913,23,,16,0,50,43,0.86,256,6,1,10,19,5.1,2.7,16,0,131,99,40,
93,Alshon Jeffery,PHI,449.5216365,2.665259024,0.654912228,29,WR,10,10,73,43,0.59,490,11.4,4,36,38,6.7,4.3,49,0,154,79,59,
94,Albert Wilson,MIA,296.1755872,1.944390358,0.485442544,27,wr,13,4,62,43,0.69,351,8.2,1,22,35,5.7,3.3,27,0,232,46,89,
95,Brandin Cooks,LAR,458.0337761,2.236903231,0.579433816,26,WR,14,14,72,42,0.58,583,13.9,2,32,57,8.1,3,41.6,0,156,76,62,
96,Melvin Gordon,LAC,254.0028453,1.59246568,1.370140983,26,RB,12,11,55,42,0.76,296,7,1,11,25,5.4,3.5,24.7,4,97,139,25,
97,JuJu Smith-Schuster,PIT,464.0846642,2.464668155,0.72766545,23,WR,12,12,70,42,0.6,552,13.1,3,23,76,7.9,3.5,46,1,171,71,66,
98,Chris Thompson,WAS,339.4316693,1.673842284,0.670209297,29,,11,0,58,42,0.72,378,9,0,16,39,6.5,3.8,34.4,1,214,52,61,
