Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Phillip Tanner\TannPh00,DAL,25,,16,0,4,3,75.00%,33,11,0,1,17,8.3,0.2,2.1,1
Taylor Thompson\ThomTa00,TEN,24,te,16,3,7,3,42.90%,13,4.3,1,1,9,1.9,0.2,0.8,0
Nick Williams\WillNi02,WAS,23,,5,0,11,3,27.30%,15,5,0,2,6,1.4,0.6,3,1
Billy Bajema\BajeBi00,BAL,31,te,6,1,2,2,100.00%,18,9,0,1,18,9,0.3,3,0
Kenjon Barner\BarnKe00,CAR,23,,8,0,3,2,66.70%,7,3.5,0,0,5,2.3,0.3,0.9,1
LeGarrette Blount\BlouLe00,NWE,27,rb,16,7,5,2,40.00%,38,19,0,1,32,7.6,0.1,2.4,3
Travaris Cadet\CadeTr00,NOR,24,,13,0,2,2,100.00%,5,2.5,1,1,3,2.5,0.2,0.4,0
Garrett Celek\CeleGa00,SFO,25,te,12,1,4,2,50.00%,38,19,0,1,30,9.5,0.2,3.2,1
Josh Cribbs\CribJo01,NYJ,30,,6,0,2,2,100.00%,6,3,0,0,5,3,0.3,1,0
Skye Dawson\DawsSk00,TAM,23,,7,0,7,2,28.60%,12,6,0,0,9,1.7,0.3,1.7,1
Dorin Dickerson\DickDo00,DET,25,,5,0,5,2,40.00%,34,17,0,1,26,6.8,0.4,6.8,0
Marcus Easley\EaslMa00,BUF,26,,16,0,5,2,40.00%,13,6.5,0,0,9,2.6,0.1,0.8,0
Bradie Ewing\EwinBr00,ATL,24,fb,2,2,2,2,100.00%,29,14.5,0,2,15,14.5,1,14.5,0
Mike Goodson\GoodMi00,NYJ,26,,2,0,3,2,66.70%,19,9.5,0,2,10,6.3,1,9.5,0
MarQueis Gray\GrayMa00,CLE,24,te,12,2,9,2,22.20%,8,4,0,0,5,0.9,0.2,0.7,0
Alex Green\GreeAl00,NYJ,25,,13,0,2,2,100.00%,8,4,0,0,7,4,0.2,0.6,0
